Date of fail,Product description,Country of origin,Producer name,Reason for fail,Results,Units,Reference,Category,Test applied,Holding order number
2021-03-02,Cheese (bontazola vaschetta gorgonzola D.O.P),Italy,Emilio Mauri,Listeria monocytogenes,Detected,,FSC 1.6.1,Risk,,
2021-03-02,Spinach,India,Global Gourmet Pvt Ltd,Chlorpyrifos,0.013 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-03-02,Celery,China,Yantai Aofeng Foodstuff Co Ltd,Cyhalothrin,Detected - Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-03-02,Preserved chilli beancurd,China,Zhuhai Bomen Food Enterprises Ltd,Bacillus cereus,"25000, 3300, 14000, 6900, >30000",cfu/g,FSC 1.6.1,Surveillance,,
2021-03-02,Chilli powder,India,Nishant Export,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2021-03-03,Frozen cockle,Vietnam,Taviuc Co Ltd,E. coli,"0.2, 9, 2, 0.2, 0.7",MPN/g,MOL 04/2017,Risk,,
2021-03-05,Yellow lentils,India,Batra Enterprises,"Chlorpyrifos Lines 17a, 17c,17d",Detected - Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-03-08,Peanut candy,India,Thulasi Exim International,Aflatoxin,"0.067 (product contains 70% peanut, therefore the calculated maximum level is 0.0105)",mg/kg,NUT 11/2018,Risk,,
2021-03-10,Egg coated peanuts,Indonesia,PT Selaras Jaya Aneka Globalindo,Aflatoxin,"0.01 (product contains 60% peanut, therefore the calculated maximum level is 0.009)",mg/kg,NUT 11/2018,Risk,,
2021-03-11,Frozen vegetables,India,Aerath Business Corporation,Cypermethrin Line 5b,Detected - Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-03-11,Frozen vegetables,India,Aerath Business Corporation,Cypermethrin Line 5a ,Detected - Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-03-11,Frozen vegetables,India,Aerath Business Corporation,Acephate      Lines 5a&5b,Detected - Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-03-11,Tapioca chips,India,Greenmount Spices,Hydrocyanic acid,15,mg/kg,CAS 09/2019,Risk,,
2021-03-11,Frozen vegetables,India,Aerath Business Corporation,Methamidophos Lines 5a&5b,Detected - Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-03-12,Spicy peanut salad dressing,Indonesia,PT Enak Jaya Makmur (Indonesia),Aflatoxin,"0.018 (product contains 64% peanut, therefore the calculated maximum level is 0.0096)",mg/kg,NUT 11/2018,Risk,,
2021-03-12,Peanut satay sauce chicken,Indonesia,PT Enak Jaya Makmur (Indonesia),Aflatoxin,"0.023 (product contains 52.9% peanut, therefore the calculated maximum level is 0.0079)",mg/kg,NUT 11/2018,Risk,,
2021-03-15,Dried Seaweed,China,Jinqiang Food Factory,Iodine,Line 16a:1400,mg/kg,BSW 12/2016,Risk,,
2021-03-15,Dried Seaweed,China,Jinqiang Food Factory,Iodine,Line 15a:1100,mg/kg,BSW 12/2016,Risk,,
2021-03-15,Dried Seaweed,China,Jinqiang Food Factory,Iodine,Line 17a:2400,mg/kg,BSW 12/2016,Risk,,
2021-03-16,Mussels,Fiji,Fiji Agro Marketing,E. coli,"110, >110, >110, >110, 46",MPN/g,MOL 04/2017,Risk,,
2021-03-16,Raisins,Iran,Ratin Khosh Co,Carbendazim,0.78 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-03-16,Mandarins,Eqypt,Dakahlia,Pendimethalin,0.08 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-03-17,Long bean,Fiji,Labasa Farm Fresh,Acephate,Detected - not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-03-18,Betel nut,India,Visnukumar Traders Pvt Ltd,Prohibited plant,,,FSC 1.4.4,Risk,,
2021-03-18,Monkfruit,China,Success Day Hong,Cyhalothrin,Detected - Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-03-18,Lentils,Myanmar,AYS MFG Co Ltd,Chlorpyrifos,0.025 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-03-18,Dried catfish,Thailand,Chatchawan Import Export & Packaging Ltd,Ciprofloxacin,Detected - not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-03-18,Yellow lentils,Myanmar,AYS MFG Co Ltd,Chlorpyrifos,0.015 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-03-18,Dried catfish,Thailand,Chatchawan Import Export & Packaging Ltd,Enrofloxacin,Detected - not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-03-19,Potato chips,China,Hunan Wangwang Foodstuffs Co Ltd,Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-03-19,Betel nut,Myanmar,Evershine Trading Co Ltd,Prohibited plant,,,FSC 1.4.4,Risk,,
2021-03-19,Candy,Japan,Kasugai Seika Co Ltd,Gardenia blue,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2021-03-19,Chocolate and caramel cereal bars,United Kingdom,Tesco Pty Ltd,Pantothenic acid,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-03-19,Chocolate and caramel cereal bars,United Kingdom,Tesco Pty Ltd,Vitamin B12,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-03-22,White tahini,Kuwait,Al Seedawai Sweet Factories Ksc,Salmonella,Detected,/125g,SES 05/2014,Risk,,
2021-03-23,Peanut bars/balls,India,Visnukumar (India),Aflatoxin,"0.15 (product contains 93% peanut, therefore the calculated maximum level is 0.01395)",mg/kg,NUT 11/2018,Risk,,
2021-03-31,Flavoured syrup,Thailand,Hales Trading (Thailand),"Additive E211 Lines 3a,4a",Not permitted in this food,,FSC 1.3.1,Surveillance,,
2021-04-01,Dried fernbrake Pteridium aquilinum,Korea Republic of,Sammi Commerce Co Ltd,Prohibited plant,,,FSC 1.4.4,Risk,,
2021-04-01,Raisin sultana,India,Patidar Exports Pvt Ltd,Thiamethoxam,0.25 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-04-07,Kashmiri chilli powder,India,Grannys Spices Llp,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2021-04-07,Spinach,China,Gaomi Ruifeng Foods Co,Chlorpyrifos,0.022 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-04-07,Spinach,China,Gaomi Ruifeng Foods Co,Cyhalothrin,Detected - Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-04-09,Tapioca crisp,Malaysia,Desa Southern Agency,Hydrocyanic acid,11,mg/kg,CAS 09/2016,Risk,,
2021-04-13,Cassava chips,Indonesia,PT Rasa Sayang Ais Krim,Hydrocyanic acid,11,mg/kg,CAS 09/2016,Risk,,
2021-04-13,Roasted peanuts,China,Shandong Fengsheng Foods Co Ltd,Aflatoxin,0.149,mg/kg,NUT 11/2018,Risk,,
2021-04-14,Tapioca sticks,Indonesia,Wynad Exports,Hydrocyanic acid,18,mg/kg,CAS 09/2016,Risk,,
2021-04-14,Snow peas,China,Yongzhou Huiyou Agriculture Development Limited Company,Difenoconazole,0.08 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-04-14,Tapioca chips,Indonesia,Wynad Exports,Hydrocyanic acid,14,mg/kg,CAS 09/2016,Risk,,
2021-04-14,Snow peas,China,Yongzhou Huiyou Agriculture Development Limited Company,Thiamethoxam,0.02 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-04-15,Dried seaweed strip,China,Fuzhou Hailin Foods Co Ltd,Iodine,1830,mg/kg,BSW 12/2016,Risk,,
2021-04-15,Dried seaweed ,Japan,Tohkon Co Ltd,Iodine,4300,mg/kg,BSW 12/2016,Risk,,
2021-04-15,Dried seaweed,China,Fuzhou Hailin Foods Co Ltd,Iodine,2900,mg/kg,BSW 12/2016,Risk,,
2021-04-16,Ayurvedic supplements,India,Shree Enterprises,Prohibited plant ,Not permitted in this food,,FSC 1.4.4,Surveillance,,
2021-04-20,Raisins,India,Patidar Exports Pvt Ltd,Carbendazim,0.5 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-04-20,Chilli crushed,India,RDR Impex,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2021-04-23,Tapioca chips spicy,India,Wynad Exports,Hydrocyanic acid,21,mg/kg,CAS 09/2016,Risk,,
2021-04-23,Gourd slices,India,Innovative cuisine,Monocrotophos,Detected - Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-04-23,Gourd slices,India,Innovative cuisine,Acephate,Detected - Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-04-23,Peanuts granulated,China,Shandong Fengsheng Foods Co Ltd,Aflatoxin,0.032,mg/kg,NUT 11/2018,Risk,,
2021-04-24,Sweet peanuts,Sri Lanka,J Remitta Stores,Aflatoxin,"0.013 (product contains 55% peanut, therefore the calculated maximum level is 0.008)",mg/kg,NUT 11/2018,Risk,,
2021-04-28,Halvah with Pistachio,Turkey,Tunas Gida Paz San Tic Ltd,Salmonella,Detected,/125g,SES 05/2014,Risk,,
2021-04-28,Halvah with Vanilla,Turkey,Tunas Gida Paz San Tic Ltd,Salmonella,Detected,/125g,SES 05/2014,Risk,,
2021-04-28,Halvah with Cocoa,Turkey,Tunas Gida Paz San Tic Ltd,Salmonella,Detected,/125g,SES 05/2014,Risk,,
2021-04-29,Energy,Iraq,Narin Company General Trading,Vitamin B12,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-04-29,Energy,Iraq,Narin Company General Trading,Vitamin B6,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-04-29,Energy,Iraq,Narin Company General Trading,Vitamin B2,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-04-30,Red chilli powder,India,Al Saqr General Trading Co Llc,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2021-05-04,Candy,Japan,Kasugai Seika Co Ltd,Gardenia blue,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2021-05-04,Dried seaweed,Japan,Tohkon Co Ltd,Iodine,3200,mg/kg,BSW 12/2016,Risk,,
2021-05-05,Peanut candy,China,Nilamel Exports,Aflatoxin,0.027,mg/kg,NUT 11/2018,Risk,,
2021-05-06,Yellowfin tuna loin,Fiji,Sealand Processors Fiji Limited,Histamine,1605,mg/kg,HIS 12/2016,Risk,,
2021-05-06,Dried seedless longan,Thailand,"O-Cha Food Pack Co.,Ltd",Carbendazim,Detected - not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-05-06,Tapioca chips hot,India,Fineday Foods,Hydrocyanic acid,20,mg/kg,CAS 09/2016,Risk,,
2021-05-06,Yellowfin tuna loin,Fiji,Sealand Processors Fiji Limited,Histamine,2060,mg/kg,HIS 12/2016,Risk,,
2021-05-06,Chilli powder,India,Mahashian Di Hatti Ltd,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2021-05-06,Tapioca chips,India,Fineday Foods,Hydrocyanic acid,17,mg/kg,CAS 09/2016,Risk,,
2021-05-07,Dried seer,Sri Lanka,Green Line Lanka Pvt Ltd,Histamine,"480, 330",mg/kg,HIS 12/2016,Risk,,
2021-05-07,Whole black peppercorns,India,Spicesmith Exports Private Limited,Mould,,,Imported Food Control Act Section 3(2),Risk,,
2021-05-07,Betel nut,India,Eastern Red Ruby Food Pvt Ltd,Prohibited plant,,,FSC 1.4.4,Risk,,
2021-05-10,Raisins,Pakistan,M.Manzoor & Co.Pak Ltd,Propargite,Not permitted in this food,,FSC 1.4.2,Surveillance,,
2021-05-10,Roasted peanuts,China,Zhejiang Golden Channel Information Technology,Aflatoxin,0.225,mg/kg,NUT 11/2018,Risk,,
2021-05-11,Cream crackers,Malaysia,Kraft Malaysia Sdn Bhd,Vitamin A,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-05-11,Jacobs original cream crackers,Malaysia,Kraft Malaysia Sdn Bhd,"Vitamin B12, mineral ‘Iodine’, and Vitamin A not permitted in this food.",,,FSC 1.3.2,Surveillance,,
2021-05-11,Cream crackers,Malaysia,Kraft Malaysia Sdn Bhd,Vitamin B12,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-05-11,Cream crackers,Malaysia,Kraft Malaysia Sdn Bhd,Iodine,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-05-12,Drink powder,Malta,Foster & Clarke Products Ltd,Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-05-13,Cocoa powder,Japan,Morinaga & Co Ltd,Ferric pyrophosphate,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2021-05-13,Cocoa powder,Japan,Morinaga & Co Ltd,Vitamin B1,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2021-05-13,Sesame seeds,India,Maanas Foods & Spices Impex,Salmonella,Detected,/125g,SES 05/2014,Risk,,
2021-05-13,Cocoa powder,Japan,Morinaga & Co Ltd,Niacin,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2021-05-13,Halawa with pistachio,Lebanon,Sonaco (Lebanon),Salmonella,Detected,/125g,SES 05/2014,Risk,,
2021-05-14,Spinach,India,Benz Exports,Chlorpyrifos,0.074 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-05-14,Broad bean pods,India,Benz Exports,Profenofos,0.072 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-05-15,Dried Herring,Philippines,Sharmila Corp,Histamine,410,mg/kg,HIS 12/2016,Risk,,
2021-05-17,Betel nut mouth freshener,Pakistan,Ansa Food Products,Prohibited plant,,,FSC 1.4.4,Risk,,
2021-05-18,Pear,China,Shenzhen J.F.Li Fruit Co Ltd,Cyhalothrin,Detected - Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-05-19,Betel nut,India,Dharampal Premchand Ltd,Prohibited plant,,,FSC 1.4.4,Risk,,
2021-05-20,Cereal,United States,Post Foods,Calcium pantothenate,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-05-20,Caramel & Chocolate bar,United Kingdom,Tesco Pty Ltd,Pantothenic acid,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-05-20,Caramel & Chocolate bar,United Kingdom,Tesco Pty Ltd,Vitamin B12,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-05-21,Frozen red chilli,Vietnam,D&T Green Foods Co Ltd,Difenoconazole,0.055 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-05-22,Dried Spanish mackerel,Sri Lanka,Derana Marketing Services Pvt Ltd,Histamine,500,mg/kg,HIS 12/2016,Risk,,
2021-05-25,Cassava chips,Indonesia,Arira Pangindo,Colour 160b,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2021-05-25,Black pepper,Italy,Especias Del Sol Sl,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2021-05-26,Chilli powder,Mexico,Meximport Food Win S De Rl,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2021-05-26,Sesame peanut sauce,China,Beijing Liubiju Food Co Ltd,Aflatoxin,0.028,mg/kg,NUT 11/2018,Risk,,
2021-05-31,Maize & soya protein bar,Nigeria,Nestle Nigeria,Vitamin B5,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-05-31,Frozen red chilli whole,Vietnam,Gia Minh Company Ltd (Vietnam),Difenoconazole,0.48 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-05-31,Frozen red chilli whole,Vietnam,Gia Minh Company Ltd (Vietnam),Difenoconazole,0.12 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-01,Frozen red chilli,Vietnam,Nguyen Thanh Iep Co Ltd,Difenoconazole,0.10 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-01,Frozen green chilli,Vietnam,Nguyen Thanh Iep Co Ltd,Difenoconazole,0.058 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-01,Frozen red chilli,Vietnam,Nguyen Thanh Iep Co Ltd,Difenoconazole,0.10 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-01,Frozen green chilli,Vietnam,Nguyen Thanh Iep Co Ltd,Cyhalothrin,Detected - Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-01,Frozen red chilli,Vietnam,Nguyen Thanh Iep Co Ltd,Metalaxyl,0.16 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-01,Frozen red chilli,Vietnam,Nguyen Thanh Iep Co Ltd,Difenoconazole,0.15 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-01,Frozen mixed chilli,Vietnam,Nguyen Thanh Iep Co Ltd,Difenoconazole,0.067 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-01,Frozen mixed chilli,Vietnam,Nguyen Thanh Iep Co Ltd,Difenoconazole,0.14 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-02,Calorie balance bar – cheese taste,Korea Republic of,Haitai Pacific Corp,Vitamin A and Vitamin C not permitted in this food,,,FSC 1.3.2,Surveillance,,
2021-06-02,Dried seaweed,China,Jinqiang Food Factory,Iodine,2100,mg/kg,BSW 12/2016,Risk,,
2021-06-02,Calorie balance bar – chocolate taste,Korea Republic of,Haitai Pacific Corp,Vitamin A and Vitamin C not permitted in this food,,,FSC 1.3.2,Surveillance,,
2021-06-02,Calorie bar,Republic of Korea ,Haitai Pacific Corp,Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-06-02,Calorie bar,Republic of Korea ,Haitai Pacific Corp,Vitamin A,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-06-03,Jarlsberg cheese,Ireland,Tine Ireland Ltd,Mould,,,Imported Food Control Act Section 3(2),Risk,,
2021-06-03,Jarlsberg cheese,Ireland,Tine Ireland Ltd,Mould,,,Imported Food Control Act Section 3(2),Risk,,
2021-06-04,Kelp,China,Fuzhou Hailin Food Co Ltd,Iodine,1900,mg/kg,BSW 12/2016,Risk,,
2021-06-04,Areca catechu (Betel nut),India,Unique Fragrances,Prohibited plant,,,FSC 1.4.4,Risk,,
2021-06-04,Goraka fruit,Sri Lanka,Jayalanka Supplier,2-phenylphenol,0.22 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-07,Green gram split,India,Batra Enterprises,Chlorpyrifos detected in excess of MRL.,0.02,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-08,White pepper powder,Sri Lanka,New Lanka Cinnamon Pvt Ltd,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2021-06-08,Black pepper whole,Sri Lanka,New Lanka Cinnamon Pvt Ltd,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2021-06-08,Black pepper powder,Sri Lanka,New Lanka Cinnamon Pvt Ltd,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2021-06-09,Chilli powder,India,Nishant Export,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2021-06-09,Mango,Vietnam,DT Pro Co Ltd,Cypermethrin,0.05 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-16,Peanut with anchovy,Malaysia,Huat Huat Kouping Sdn Bhd,Aflatoxin,0.041,mg/kg,NUT 11/2018,Risk,,
2021-06-17,Sesame with peanut paste,China,Beijing Liubiju Food Co Ltd,Aflatoxin,0.039,mg/kg,NUT 11/2018,Risk,,
2021-06-18,Raisins,India,Harihar Foods Pvt Ltd,Carbendazim,0.95 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-18,Raisins,India,Harihar Foods Pvt Ltd,Propargite,Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-21,Areca catechu (Betel nut),India,Pramukh Food Exports Pvt Ltd,Prohibited plant,,,FSC 1.4.4,Risk,,
2021-06-21,Chilli powder,India,Miltop Exports,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2021-06-22,Calorie bar – cheese taste,Korea Republic of,Haitai Pacific Corp,Vitamin A,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-06-22,Calorie bar – maple syrup taste,Korea Republic of,Haitai Pacific Corp,Vitamin A,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-06-22,Feta cheese,Greece,D.Kissas Bros O.E,Listeria monocytogenes,Detected,,CHE 07/2018,Risk,,
2021-06-24,Cereal,Japan,Calbee,Vitamin B12,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-06-24,Cereal,Japan,Calbee,Pantothenic acid,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2021-06-25,Dried Fish,Sri Lanka,Derana Marketing Services Pvt Ltd,Histamine,290,mg/kg,HIS 12/2016,Risk,,
2021-06-28,Betel leaves,India,Malar Exports,Chlorpyrifos,0.18 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-28,Betel leaves,India,Malar Exports,Carbendazim,Detected - Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-28,Raisin sultana,India,Patidar Exports Pvt Ltd,Carbendazim,1.28 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-28,Betel leaves,India,Malar Exports,Difenoconazole,0.05 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-28,Raisin sultana,India,Patidar Exports Pvt Ltd,Carbendazim,1.19 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-28,Betel leaves,India,Malar Exports,Metalaxyl,0.49 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2021-06-28,Dried Seaweed,Korea Republic of,Jayoenwon Food Inc,Iodine,4700,mg/kg,BSW 12/2016,Risk,,
2021-06-29,Dried Seaweed,Vietnam,Viet San Food Co,Iodine,4800,mg/kg,BSW 12/2016,Risk,,
2021-07-01,Red chilli powder,India,Pramukh Food Exports Pvt Ltd,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2021-07-02,Pistachio halva,Iran Islamic Republic of,Shirreza,Salmonella,Detected,/125g,SES 05/2014,Risk,,
2021-07-02,Tahini,Iran Islamic Republic of,Shirreza,Salmonella,Detected,/125g,SES 05/2014,Risk,,
2021-07-02,Strawberry sesame cream,Iran Islamic Republic of,Shirreza,Salmonella,Detected,/125g,SES 05/2014,Risk,,
2021-07-02,Banana sesame cream,Iran Islamic Republic of,Shirreza,Salmonella,Detected,/125g,SES 05/2014,Risk,,
2021-07-02,Peanut brittle,India,Datta Ram Nand Lal,Aflatoxin,0.157,mg/kg,NUT 11/2018,Risk,,
2021-07-02,Frozen spinach,China,Shanghai Dongmei Import & Export Co Ltd,Cyhalothrin not permitted in this food,0.011,mg/kg,FSC 1.4.2,Surveillance,,
2021-07-02,Cutlets swamp eel,Vietnam,Hung Phong Co Ltd (DL 531),Enrofloxacin not permitted in this food,0.0038,mg/kg,FSC 1.4.2,Surveillance,,
2021-07-02,Cutlets swamp eel,Vietnam,Hung Phong Co Ltd (DL 531),Ciprofloxacin not permitted in this food,0.0038,mg/kg,FSC 1.4.2,Surveillance,,
2021-07-06,Fondant cake icing,United States,Satin Fine Foods Inc,Additive Potassium aluminium silicate (E555) not permitted in this food,,,FSC 1.3.1,Surveillance,,
2021-07-07,Spinach,India,Vadilal Industries Limited,Detected in excess of permitted level,"4, 23, 9, <10, 150",MPN/g,FSC 1.6.1,Surveillance,,
2021-07-07,Peanut butter,Iran Islamic Republic of,Shirreza,Aflatoxin,0.016,mg/kg,NUT 11/2018,Risk,,
2021-07-08,Red wine and garlic sprinkle,South Africa,Flippen Lekka Spice,Additive Erythrosine (E127) not permitted in this food,,,FSC 1.3.1,Surveillance,,
2021-07-09,Peanut candy,India,Tiruvonam Popular Food Products,Aflatoxin,17,mg/kg,NUT 11/2018,Risk,,
2021-07-09,Sesame with peanut paste,China,"Beijing Liubiju Food Co., Ltd",Aflatoxin,0.044,mg/kg,NUT 11/2018,Risk,,
2021-07-12,Fresh lychee,Vietnam,"Red Dragon Co., Ltd",Cypermethrin detected in excess of MRL,0.132,mg/kg,FSC 1.4.2,Surveillance,,
2021-07-12,Maldive fish pieces,Sri Lanka,Rasoja Food Products,Histamine ,"220, 240",mg/kg,HIS 12/2016,Risk,,
2021-07-12,White fermented bean curd with sesame oil,Taiwan,Chia Li Food Co Ltd,Detected in excess of levels permitted,"400, 1700, 2500, 5900, 6700",cfu/g,FSC 1.6.1,Surveillance,,
2021-07-14,Roasted peanuts,Ethiopia,Flying Eagle Import & Export Plc,Aflatoxin,0.231,mg/kg,NUT 11/2018,Risk,,
2021-07-14,Cleaned headless pale rasbora,Vietnam,"Hung Phong Co., Ltd",Enrofloxacin not permitted in this food.,0.006Â Â ,mg/kg,FSC 1.4.2,Surveillance,,
2021-07-14,Cleaned headless snakehead fish,Vietnam,"Hung Phong Co., Ltd",Enrofloxacin not permitted in this food.,0.021,mg/kg,FSC 1.4.2,Surveillance,,
2021-07-14,Cleaned headless snakehead fish,Vietnam,"Hung Phong Co., Ltd",Ciprofloxacin not permitted in this food.,0.011,mg/kg,FSC 1.4.2,Surveillance,,
2021-07-15,Energy drink,United States,Ignite International,Caffeine in excess of levels permitted,529,mg/L,FSC 2.6.4,Surveillance,,
2021-07-15,Energy drink,United States,Ignite International,Caffeine in excess of levels permitted,529,mg/L,FSC 2.6.4,Surveillance,,
2021-07-16,Peanut butter,Ghana,Tayaako Enterprise,Aflatoxin,0.035,mg/kg,NUT 11/2018,Risk,,
2021-07-19,Flavoured bubble-gum,South Africa,Mondelez South Africa Proprietry Limited,Additive E127 not permitted in this food,,,FSC 1.3.1,Surveillance,,
2021-07-19,Betel nut,India,Gajanand Foods Pvt Ltd,Prohibited plant –Betel nut,,,Prohibited plants and fungi,Risk,,
2021-07-21,Hotpot seasoning sauce,China,"Chengdu Shudaxia Catering Operation Co.,Ltd",Prohibited plant - Agaricus (also known as Amanita muscaria).,,,FSC 1.4.4,Surveillance,,
2021-07-22,Strawberry chocolate bar,Japan,Meiji Co Ltd,Additive Monascus purpureus pigment not permitted in this food.,,,FSC 1.3.1,Surveillance,,
2021-07-22,Soft shell crabs,Myanmar,"Gallant Ocean Trading Co., Ltd",Nitrofurazone not permitted in this food,0.003,mg/kg,FSC 1.4.2,Surveillance,,
2021-07-22,Sports supplements – various flavours,United States,Ans Performance,Prohibited plant – Hemerocallis fulva,,,FSC 1.4.4,Surveillance,,
2021-07-22,Instant udon noodles,Japan,"Nissin Food Products co., ltd",Additive Monascus purpureus pigment not permitted in this food.,,,FSC 1.3.1,Surveillance,,
2021-07-22,Edamame soybeans in pod ,Indonesia,Pt Mitratani Dua Tujuh,Permethrin detected in excess of MRL,0.08,mg/kg,FSC 1.4.2,Surveillance,,
2021-07-23,Frozen sour soup creeper,Vietnam,Hai Chau Aquatic Product Company Limited,Detected in excess of level permitted,0.2,mg/kg,FSC 1.4.1,Surveillance,,
2021-07-23,Fresh mangosteens,Thailand,Tropical Green Co Ltd,Cypermethrin  detected in excess of MRL,0.12,mg/kg,FSC 1.4.2,Surveillance,,
2021-07-23,Bean curd stick,China,Xinning Lexian Beancurd Factory,Detected in excess of levels permitted.,"1400, 1200, 150, 350, 150",CFU/g,FSC 1.6.1,Surveillance,,
2021-07-23,Organic blanched roasted peanuts,Paraguay,Healthy Grains SA,Aflatoxin,0.15,mg/kg,NUT 11/2018,Risk,,
