Date_of_fail,Product_description,Country_of_origin,Producer_name,Reason_for_fail,Results,Units,Reference,Category,Test_applied,Holding_order_number
2021-02-08,dried longan,china,guangzhou meixiang yang catering management,carbendazim,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-02-08,goraka fruit,sri lanka,jayalanka supplier,2phenylphenol,0.37 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-02-08,coconut shredded,india,wholesome foods,salmonella,Detected,/125g,fsc 161,surveillance,nan,
2021-02-09,frozen yam,tonga,jm exports,acephate,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-02-10,red bull drink,thailand,tc pharmaceutical industries,choline,Not permitted in this food,,fsc 132,surveillance,nan,
2021-02-11,parval,india,innovative cuisine,monocrotophos,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-02-15,black olives manzanillo,israel,kvuzat yavne,ferrous sulphate,Not permitted in this food,,fsc 132,surveillance,nan,
2021-02-16,cambodge tamarind fruit,india,eastern condiments,2phenylphenol,0.37- Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-02-17,fresh betel leaves,india,thangapandi international,chlorpyrifos,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-02-17,fresh betel leaves,india,thangapandi international,profenofos,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-02-17,fresh betel leaves,india,thangapandi international,carbendazim,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-02-17,mixed fruit jam,india,sunrise chemicals,vitamin b3,Not permitted in this food,,fsc 132,surveillance,nan,
2021-02-17,fresh betel leaves,india,thangapandi international,fipronil,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-02-17,fresh betel leaves,india,thangapandi international,cypermethrin,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-02-17,sesame seed hulled,india,patidar exports,salmonella,Detected,/125g,ses 052014,risk,nan,
2021-02-18,cream crackers,malaysia,kraft malaysia,vitamin a,Not permitted in this food,,fsc 132,surveillance,nan,
2021-02-18,cream crackers,malaysia,kraft malaysia,iodine,Not permitted in this food,,fsc 132,surveillance,nan,
2021-02-18,cream crackers,malaysia,kraft malaysia,vitamin b12,Not permitted in this food,,fsc 132,surveillance,nan,
2021-02-19,maldive fish,sri lanka,lakrasa products,histamine,320,mg/kg,his 122016,risk,nan,
2021-02-22,cereal bars,united kingdom,tesco,pantothenic acid,Not permitted in this food,,fsc 132,surveillance,nan,
2021-02-22,cereal bars,united kingdom,tesco,vitamin b12,Not permitted in this food,,fsc 132,surveillance,nan,
2021-02-23,soft drink,japan,asahi inryo kk,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2021-02-24,jelly powder,malaysia,happy grass products,additive 127 erythrosine,Not permitted in this food,,fsc 131,surveillance,nan,
2021-02-24,green lentil,india,batra enterprises,chlorpyrifos,0.016 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-02-26,energy drink,thailand,tc pharmaceutical industries,choline bitrate,Not permitted in this food,,fsc 132,surveillance,nan,
2021-02-26,fresh tuna,japan,global view,histamine,1106,mg/kg,his 122016,risk,nan,
2021-03-02,cheese bontazola vaschetta gorgonzola dop,italy,emilio mauri,listeria monocytogenes,Detected,,fsc 161,risk,nan,
2021-03-02,spinach,india,global gourmet,chlorpyrifos,0.013 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-03-02,celery,china,yantai aofeng foodstuff,cyhalothrin,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-03-02,preserved chilli beancurd,china,zhuhai bomen food enterprises,bacillus cereus,"25000, 3300, 14000, 6900, >30000",cfu/g,fsc 161,surveillance,nan,
2021-03-02,chilli powder,india,nishant export,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-03-03,frozen cockle,vietnam,taviuc,e coli,"0.2, 9, 2, 0.2, 0.7",MPN/g,mol 042017,risk,nan,
2021-03-05,yellow lentils,india,batra enterprises,chlorpyrifos lines 17a 17c17d,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-03-08,peanut candy,india,thulasi exim international,aflatoxin,"0.067 (product contains 70% peanut, therefore the calculated maximum level is 0.0105)",mg/kg,nut 112018,risk,nan,
2021-03-10,egg coated peanuts,indonesia,pt selaras jaya aneka globalindo,aflatoxin,"0.01 (product contains 60% peanut, therefore the calculated maximum level is 0.009)",mg/kg,nut 112018,risk,nan,
2021-03-11,frozen vegetables,india,aerath business,cypermethrin line 5b,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-03-11,frozen vegetables,india,aerath business,cypermethrin line 5a,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-03-11,frozen vegetables,india,aerath business,acephate   lines 5a5b,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-03-11,tapioca chips,india,greenmount spices,hydrocyanic acid,15,mg/kg,cas 092019,risk,nan,
2021-03-11,frozen vegetables,india,aerath business,methamidophos lines 5a5b,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-03-12,spicy peanut salad dressing,indonesia,pt enak jaya makmur indonesia,aflatoxin,"0.018 (product contains 64% peanut, therefore the calculated maximum level is 0.0096)",mg/kg,nut 112018,risk,nan,
2021-03-12,peanut satay sauce chicken,indonesia,pt enak jaya makmur indonesia,aflatoxin,"0.023 (product contains 52.9% peanut, therefore the calculated maximum level is 0.0079)",mg/kg,nut 112018,risk,nan,
2021-03-15,dried seaweed,china,jinqiang food factory,iodine,Line 16a:1400,mg/kg,bsw 122016,risk,nan,
2021-03-15,dried seaweed,china,jinqiang food factory,iodine,Line 15a:1100,mg/kg,bsw 122016,risk,nan,
2021-03-15,dried seaweed,china,jinqiang food factory,iodine,Line 17a:2400,mg/kg,bsw 122016,risk,nan,
2021-03-16,mussels,fiji,fiji agro marketing,e coli,"110, >110, >110, >110, 46",MPN/g,mol 042017,risk,nan,
2021-03-16,raisins,iran,ratin khosh,carbendazim,0.78 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-03-16,mandarins,eqypt,dakahlia,pendimethalin,0.08 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-03-17,long bean,fiji,labasa farm fresh,acephate,Detected - not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-03-18,betel nut,india,visnukumar traders,prohibited plant,,,fsc 144,risk,nan,
2021-03-18,monkfruit,china,success day hong,cyhalothrin,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-03-18,lentils,myanmar,ays mfg,chlorpyrifos,0.025 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-03-18,dried catfish,thailand,chatchawan import export packaging,ciprofloxacin,Detected - not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-03-18,yellow lentils,myanmar,ays mfg,chlorpyrifos,0.015 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-03-18,dried catfish,thailand,chatchawan import export packaging,enrofloxacin,Detected - not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-03-19,potato chips,china,hunan wangwang foodstuffs,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2021-03-19,betel nut,myanmar,evershine trading,prohibited plant,,,fsc 144,risk,nan,
2021-03-19,candy,japan,kasugai seika,gardenia blue,Not permitted in this food,,fsc 131,surveillance,nan,
2021-03-19,chocolate and caramel cereal bars,united kingdom,tesco,pantothenic acid,Not permitted in this food,,fsc 132,surveillance,nan,
2021-03-19,chocolate and caramel cereal bars,united kingdom,tesco,vitamin b12,Not permitted in this food,,fsc 132,surveillance,nan,
2021-03-22,white tahini,kuwait,al seedawai sweet factories ksc,salmonella,Detected,/125g,ses 052014,risk,nan,
2021-03-23,peanut barsballs,india,visnukumar,aflatoxin,"0.15 (product contains 93% peanut, therefore the calculated maximum level is 0.01395)",mg/kg,nut 112018,risk,nan,
2021-03-31,flavoured syrup,thailand,hales trading,additive e211 lines 3a4a,Not permitted in this food,,fsc 131,surveillance,nan,
2021-04-01,dried fernbrake pteridium aquilinum,korea,sammi commerce,prohibited plant,,,fsc 144,risk,nan,
2021-04-01,raisin sultana,india,patidar exports,thiamethoxam,0.25 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-04-07,kashmiri chilli powder,india,grannys spices llp,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-04-07,spinach,china,gaomi ruifeng foods,chlorpyrifos,0.022 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-04-07,spinach,china,gaomi ruifeng foods,cyhalothrin,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-04-09,tapioca crisp,malaysia,desa southern agency,hydrocyanic acid,11,mg/kg,cas 092016,risk,nan,
2021-04-13,cassava chips,indonesia,pt rasa sayang ais krim,hydrocyanic acid,11,mg/kg,cas 092016,risk,nan,
2021-04-13,roasted peanuts,china,shandong fengsheng foods,aflatoxin,0.149,mg/kg,nut 112018,risk,nan,
2021-04-14,tapioca sticks,indonesia,wynad exports,hydrocyanic acid,18,mg/kg,cas 092016,risk,nan,
2021-04-14,snow peas,china,yongzhou huiyou agriculture development  company,difenoconazole,0.08 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-04-14,tapioca chips,indonesia,wynad exports,hydrocyanic acid,14,mg/kg,cas 092016,risk,nan,
2021-04-14,snow peas,china,yongzhou huiyou agriculture development  company,thiamethoxam,0.02 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-04-15,dried seaweed strip,china,fuzhou hailin foods,iodine,1830,mg/kg,bsw 122016,risk,nan,
2021-04-15,dried seaweed,japan,tohkon,iodine,4300,mg/kg,bsw 122016,risk,nan,
2021-04-15,dried seaweed,china,fuzhou hailin foods,iodine,2900,mg/kg,bsw 122016,risk,nan,
2021-04-16,ayurvedic supplements,india,shree enterprises,prohibited plant,Not permitted in this food,,fsc 144,surveillance,nan,
2021-04-20,raisins,india,patidar exports,carbendazim,0.5 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-04-20,chilli crushed,india,rdr impex,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-04-23,tapioca chips spicy,india,wynad exports,hydrocyanic acid,21,mg/kg,cas 092016,risk,nan,
2021-04-23,gourd slices,india,innovative cuisine,monocrotophos,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-04-23,gourd slices,india,innovative cuisine,acephate,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-04-23,peanuts granulated,china,shandong fengsheng foods,aflatoxin,0.032,mg/kg,nut 112018,risk,nan,
2021-04-24,sweet peanuts,sri lanka,j remitta stores,aflatoxin,"0.013 (product contains 55% peanut, therefore the calculated maximum level is 0.008)",mg/kg,nut 112018,risk,nan,
2021-04-28,halvah with pistachio,turkey,tunas gida paz san tic,salmonella,Detected,/125g,ses 052014,risk,nan,
2021-04-28,halvah with vanilla,turkey,tunas gida paz san tic,salmonella,Detected,/125g,ses 052014,risk,nan,
2021-04-28,halvah with cocoa,turkey,tunas gida paz san tic,salmonella,Detected,/125g,ses 052014,risk,nan,
2021-04-29,energy,iraq,narin company general trading,vitamin b12,Not permitted in this food,,fsc 132,surveillance,nan,
2021-04-29,energy,iraq,narin company general trading,vitamin b6,Not permitted in this food,,fsc 132,surveillance,nan,
2021-04-29,energy,iraq,narin company general trading,vitamin b2,Not permitted in this food,,fsc 132,surveillance,nan,
2021-04-30,red chilli powder,india,al saqr general trading  llc,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-05-04,candy,japan,kasugai seika,gardenia blue,Not permitted in this food,,fsc 131,surveillance,nan,
2021-05-04,dried seaweed,japan,tohkon,iodine,3200,mg/kg,bsw 122016,risk,nan,
2021-05-05,peanut candy,china,nilamel exports,aflatoxin,0.027,mg/kg,nut 112018,risk,nan,
2021-05-06,yellowfin tuna loin,fiji,sealand processors fiji,histamine,1605,mg/kg,his 122016,risk,nan,
2021-05-06,dried seedless longan,thailand,ocha food pack coltd,carbendazim,Detected - not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-05-06,tapioca chips hot,india,fineday foods,hydrocyanic acid,20,mg/kg,cas 092016,risk,nan,
2021-05-06,yellowfin tuna loin,fiji,sealand processors fiji,histamine,2060,mg/kg,his 122016,risk,nan,
2021-05-06,chilli powder,india,mahashian di hatti,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-05-06,tapioca chips,india,fineday foods,hydrocyanic acid,17,mg/kg,cas 092016,risk,nan,
2021-05-07,dried seer,sri lanka,green line lanka,histamine,"480, 330",mg/kg,his 122016,risk,nan,
2021-05-07,whole black peppercorns,india,spicesmith exports private,mould,,,imported food control act section 32,risk,nan,
2021-05-07,betel nut,india,eastern red ruby food,prohibited plant,,,fsc 144,risk,nan,
2021-05-10,raisins,pakistan,mmanzoor copak,propargite,Not permitted in this food,,fsc 142,surveillance,nan,
2021-05-10,roasted peanuts,china,zhejiang golden channel information technology,aflatoxin,0.225,mg/kg,nut 112018,risk,nan,
2021-05-11,cream crackers,malaysia,kraft malaysia,vitamin a,Not permitted in this food,,fsc 132,surveillance,nan,
2021-05-11,jacobs original cream crackers,malaysia,kraft malaysia,vitamin b12 mineral iodine and vitamin a not permitted in this food,,,fsc 132,surveillance,nan,
2021-05-11,cream crackers,malaysia,kraft malaysia,vitamin b12,Not permitted in this food,,fsc 132,surveillance,nan,
2021-05-11,cream crackers,malaysia,kraft malaysia,iodine,Not permitted in this food,,fsc 132,surveillance,nan,
2021-05-12,drink powder,malta,foster clarke products,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2021-05-13,cocoa powder,japan,morinaga,ferric pyrophosphate,Not permitted in this food,,fsc 131,surveillance,nan,
2021-05-13,cocoa powder,japan,morinaga,vitamin b1,Not permitted in this food,,fsc 131,surveillance,nan,
2021-05-13,sesame seeds,india,maanas foods spices impex,salmonella,Detected,/125g,ses 052014,risk,nan,
2021-05-13,cocoa powder,japan,morinaga,niacin,Not permitted in this food,,fsc 131,surveillance,nan,
2021-05-13,halawa with pistachio,lebanon,sonaco lebanon,salmonella,Detected,/125g,ses 052014,risk,nan,
2021-05-14,spinach,india,benz exports,chlorpyrifos,0.074 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-05-14,broad bean pods,india,benz exports,profenofos,0.072 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-05-15,dried herring,philippines,sharmila corp,histamine,410,mg/kg,his 122016,risk,nan,
2021-05-17,betel nut mouth freshener,pakistan,ansa food products,prohibited plant,,,fsc 144,risk,nan,
2021-05-18,pear,china,shenzhen jfli fruit,cyhalothrin,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-05-19,betel nut,india,dharampal premchand,prohibited plant,,,fsc 144,risk,nan,
2021-05-20,cereal,united states,post foods,calcium pantothenate,Not permitted in this food,,fsc 132,surveillance,nan,
2021-05-20,caramel  chocolate bar,united kingdom,tesco,pantothenic acid,Not permitted in this food,,fsc 132,surveillance,nan,
2021-05-20,caramel  chocolate bar,united kingdom,tesco,vitamin b12,Not permitted in this food,,fsc 132,surveillance,nan,
2021-05-21,frozen red chilli,vietnam,dt green foods,difenoconazole,0.055 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-05-22,dried spanish mackerel,sri lanka,derana marketing services,histamine,500,mg/kg,his 122016,risk,nan,
2021-05-25,cassava chips,indonesia,arira pangindo,colour 160b,Not permitted in this food,,fsc 131,surveillance,nan,
2021-05-25,black pepper,italy,especias del sol sl,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-05-26,chilli powder,mexico,meximport food win s de rl,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-05-26,sesame peanut sauce,china,beijing liubiju food,aflatoxin,0.028,mg/kg,nut 112018,risk,nan,
2021-05-31,maize  soya protein bar,nigeria,nestle nigeria,vitamin b5,Not permitted in this food,,fsc 132,surveillance,nan,
2021-05-31,frozen red chilli whole,vietnam,gia minh company  vietnam,difenoconazole,0.48 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-05-31,frozen red chilli whole,vietnam,gia minh company  vietnam,difenoconazole,0.12 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-06-01,frozen red chilli,vietnam,nguyen thanh iep,difenoconazole,0.10 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-06-01,frozen green chilli,vietnam,nguyen thanh iep,difenoconazole,0.058 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-06-01,frozen red chilli,vietnam,nguyen thanh iep,difenoconazole,0.10 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-06-01,frozen green chilli,vietnam,nguyen thanh iep,cyhalothrin,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-06-01,frozen red chilli,vietnam,nguyen thanh iep,metalaxyl,0.16 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-06-01,frozen red chilli,vietnam,nguyen thanh iep,difenoconazole,0.15 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-06-01,frozen mixed chilli,vietnam,nguyen thanh iep,difenoconazole,0.067 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-06-01,frozen mixed chilli,vietnam,nguyen thanh iep,difenoconazole,0.14 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-06-02,calorie balance bar  cheese taste,korea,haitai pacific corp,vitamin a and vitamin c not permitted in this food,,,fsc 132,surveillance,nan,
2021-06-02,dried seaweed,china,jinqiang food factory,iodine,2100,mg/kg,bsw 122016,risk,nan,
2021-06-02,calorie balance bar  chocolate taste,korea,haitai pacific corp,vitamin a and vitamin c not permitted in this food,,,fsc 132,surveillance,nan,
2021-06-02,calorie bar,korea,haitai pacific corp,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2021-06-02,calorie bar,korea,haitai pacific corp,vitamin a,Not permitted in this food,,fsc 132,surveillance,nan,
2021-06-03,jarlsberg cheese,ireland,tine ireland,mould,,,imported food control act section 32,risk,nan,
2021-06-03,jarlsberg cheese,ireland,tine ireland,mould,,,imported food control act section 32,risk,nan,
2021-06-04,kelp,china,fuzhou hailin food,iodine,1900,mg/kg,bsw 122016,risk,nan,
2021-06-04,areca catechu betel nut,india,unique fragrances,prohibited plant,,,fsc 144,risk,nan,
2021-06-04,goraka fruit,sri lanka,jayalanka supplier,2phenylphenol,0.22 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-06-07,green gram split,india,batra enterprises,chlorpyrifos detected in excess of mrl,0.02,mg/kg,fsc 142,surveillance,nan,
2021-06-08,white pepper powder,sri lanka,new lanka cinnamon,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-06-08,black pepper whole,sri lanka,new lanka cinnamon,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-06-08,black pepper powder,sri lanka,new lanka cinnamon,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-06-09,chilli powder,india,nishant export,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-06-09,mango,vietnam,dt pro,cypermethrin,0.05 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-06-16,peanut with anchovy,malaysia,huat huat kouping,aflatoxin,0.041,mg/kg,nut 112018,risk,nan,
2021-06-17,sesame with peanut paste,china,beijing liubiju food,aflatoxin,0.039,mg/kg,nut 112018,risk,nan,
2021-06-18,raisins,india,harihar foods,carbendazim,0.95 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-06-18,raisins,india,harihar foods,propargite,Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-06-21,areca catechu betel nut,india,pramukh food exports,prohibited plant,,,fsc 144,risk,nan,
2021-06-21,chilli powder,india,miltop exports,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-06-22,calorie bar  cheese taste,korea,haitai pacific corp,vitamin a,Not permitted in this food,,fsc 132,surveillance,nan,
2021-06-22,calorie bar  maple syrup taste,korea,haitai pacific corp,vitamin a,Not permitted in this food,,fsc 132,surveillance,nan,
2021-06-22,feta cheese,greece,dkissas bros oe,listeria monocytogenes,Detected,,che 072018,risk,nan,
2021-06-24,cereal,japan,calbee,vitamin b12,Not permitted in this food,,fsc 132,surveillance,nan,
2021-06-24,cereal,japan,calbee,pantothenic acid,Not permitted in this food,,fsc 132,surveillance,nan,
2021-06-25,dried fish,sri lanka,derana marketing services,histamine,290,mg/kg,his 122016,risk,nan,
2021-06-28,betel leaves,india,malar exports,chlorpyrifos,0.18 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-06-28,betel leaves,india,malar exports,carbendazim,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2021-06-28,raisin sultana,india,patidar exports,carbendazim,1.28 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-06-28,betel leaves,india,malar exports,difenoconazole,0.05 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-06-28,raisin sultana,india,patidar exports,carbendazim,1.19 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-06-28,betel leaves,india,malar exports,metalaxyl,0.49 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2021-06-28,dried seaweed,korea,jayoenwon food,iodine,4700,mg/kg,bsw 122016,risk,nan,
2021-06-29,dried seaweed,vietnam,viet san food,iodine,4800,mg/kg,bsw 122016,risk,nan,
2021-07-01,red chilli powder,india,pramukh food exports,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-07-02,pistachio halva,iran,shirreza,salmonella,Detected,/125g,ses 052014,risk,nan,
2021-07-02,tahini,iran,shirreza,salmonella,Detected,/125g,ses 052014,risk,nan,
2021-07-02,strawberry sesame cream,iran,shirreza,salmonella,Detected,/125g,ses 052014,risk,nan,
2021-07-02,banana sesame cream,iran,shirreza,salmonella,Detected,/125g,ses 052014,risk,nan,
2021-07-02,peanut brittle,india,datta ram nand lal,aflatoxin,0.157,mg/kg,nut 112018,risk,nan,
2021-07-02,frozen spinach,china,shanghai dongmei import export,cyhalothrin not permitted in this food,0.011,mg/kg,fsc 142,surveillance,nan,
2021-07-02,cutlets swamp eel,vietnam,hung phong   dl 531,enrofloxacin not permitted in this food,0.0038,mg/kg,fsc 142,surveillance,nan,
2021-07-02,cutlets swamp eel,vietnam,hung phong   dl 531,ciprofloxacin not permitted in this food,0.0038,mg/kg,fsc 142,surveillance,nan,
2021-07-06,fondant cake icing,united states,satin fine foods,additive potassium aluminium silicate e555 not permitted in this food,,,fsc 131,surveillance,nan,
2021-07-07,spinach,india,vadilal industries,detected in excess of permitted level,"4, 23, 9, <10, 150",MPN/g,fsc 161,surveillance,nan,
2021-07-07,peanut butter,iran,shirreza,aflatoxin,0.016,mg/kg,nut 112018,risk,nan,
2021-07-08,red wine and garlic sprinkle,south africa,flippen lekka spice,additive erythrosine e127 not permitted in this food,,,fsc 131,surveillance,nan,
2021-07-09,peanut candy,india,tiruvonam popular food products,aflatoxin,17,mg/kg,nut 112018,risk,nan,
2021-07-09,sesame with peanut paste,china,beijing liubiju food,aflatoxin,0.044,mg/kg,nut 112018,risk,nan,
2021-07-12,fresh lychee,vietnam,red dragon,cypermethrin detected in excess of mrl,0.132,mg/kg,fsc 142,surveillance,nan,
2021-07-12,maldive fish pieces,sri lanka,rasoja food products,histamine,"220, 240",mg/kg,his 122016,risk,nan,
2021-07-12,white fermented bean curd with sesame oil,taiwan,chia li food,detected in excess of levels permitted,"400, 1700, 2500, 5900, 6700",cfu/g,fsc 161,surveillance,nan,
2021-07-14,roasted peanuts,ethiopia,flying eagle import export plc,aflatoxin,0.231,mg/kg,nut 112018,risk,nan,
2021-07-14,cleaned headless pale rasbora,vietnam,hung phong,enrofloxacin not permitted in this food,0.006ÃÂ ÃÂ ,mg/kg,fsc 142,surveillance,nan,
2021-07-14,cleaned headless snakehead fish,vietnam,hung phong,enrofloxacin not permitted in this food,0.021,mg/kg,fsc 142,surveillance,nan,
2021-07-14,cleaned headless snakehead fish,vietnam,hung phong,ciprofloxacin not permitted in this food,0.011,mg/kg,fsc 142,surveillance,nan,
2021-07-15,energy drink,united states,ignite international,caffeine in excess of levels permitted,529,mg/L,fsc 264,surveillance,nan,
2021-07-15,energy drink,united states,ignite international,caffeine in excess of levels permitted,529,mg/L,fsc 264,surveillance,nan,
2021-07-16,peanut butter,ghana,tayaako enterprise,aflatoxin,0.035,mg/kg,nut 112018,risk,nan,
2021-07-19,flavoured bubblegum,south africa,mondelez south africa proprietry,additive e127 not permitted in this food,,,fsc 131,surveillance,nan,
2021-07-19,betel nut,india,gajanand foods,prohibited plant betel nut,,,prohibited plants and fungi,risk,nan,
2021-07-21,hotpot seasoning sauce,china,chengdu shudaxia catering operation coltd,prohibited plant  agaricus also known as amanita muscaria,,,fsc 144,surveillance,nan,
2021-07-22,strawberry chocolate bar,japan,meiji,additive monascus purpureus pigment not permitted in this food,,,fsc 131,surveillance,nan,
2021-07-22,soft shell crabs,myanmar,gallant ocean trading,nitrofurazone not permitted in this food,0.003,mg/kg,fsc 142,surveillance,nan,
2021-07-22,sports supplements  various flavours,united states,ans performance,prohibited plant  hemerocallis fulva,,,fsc 144,surveillance,nan,
2021-07-22,instant udon noodles,japan,nissin food products,additive monascus purpureus pigment not permitted in this food,,,fsc 131,surveillance,nan,
2021-07-22,edamame soybeans in pod,indonesia,pt mitratani dua tujuh,permethrin detected in excess of mrl,0.08,mg/kg,fsc 142,surveillance,nan,
2021-07-23,frozen sour soup creeper,vietnam,hai chau aquatic product company,detected in excess of level permitted,0.2,mg/kg,fsc 141,surveillance,nan,
2021-07-23,fresh mangosteens,thailand,tropical green,cypermethrin detected in excess of mrl,0.12,mg/kg,fsc 142,surveillance,nan,
2021-07-23,bean curd stick,china,xinning lexian beancurd factory,detected in excess of levels permitted,"1400, 1200, 150, 350, 150",CFU/g,fsc 161,surveillance,nan,
2021-07-23,organic blanched roasted peanuts,paraguay,healthy grains sa,aflatoxin,0.15,mg/kg,nut 112018,risk,nan,
2021-07-23,fresh mangosteens,thailand,tropical green,chlorpyrifos not permitted in this food,0.36,mg/kg,fsc 142,surveillance,nan,
2021-07-26,peanuts,indonesia,pt ambengan jaya berkat sejahtera,aflatoxin,0.07,mg/kg,nut 112018,risk,nan,
2021-07-27,mackerel,japan,mizuno sea foods,listeria monocytogenes,Detected,/125g,fsh 072018,risk,nan,
2021-07-27,dried fish keeramin,sri lanka,derana marketing services,histamine,240,mg/kg,his 122016,risk,nan,
2021-07-28,maldive fish chips,sri lanka,lakrasa food,histamine,400,mg/kg,his 122016,risk,nan,
2021-07-28,pitted dates,iran,anatolia,propargite not permitted in this food,0.11,mg/kg,fsc 142,surveillance,nan,
2021-07-28,dried kelp,korea,young il general food,iodine,4580,mg/kg,bsw 122016,risk,nan,
2021-07-28,sheep cheese with chili,spain,spanish cheese sl 1505448ab,listeria monocytogenes detected,Detected,/125g,che 072018,risk,nan,
2021-07-28,red fermented bean curd,china,foshan hai tian flavoring food company,detected in excess of levels permitted,"1300, 600, 300, 7700, 300",CFU/g,fsc 161,surveillance,nan,
2021-07-29,cheese,ireland,dairygold imokilly mogeely ireland,mould,Detected,/125g,imported food control act section 32,risk,nan,
2021-07-29,malt drink powder,india,nestle,copper not permitted in this food,,,fsc 132,surveillance,nan,
